station_la,station_lo,Date,Turbidity_,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MNDWI,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,NDSSI,NDTI,NDWI,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP
20.06109471,99.3620021,2025-05-13,548.0,0.0253,0.094,0.2013,0.187,0.1612,0.19840000569820404,0.2366,0.2355,0.2019,0.2015,0.2382,0.1969,0.2063,-0.007255427221548815,0,0,0,0.0,0,-0.003369839932603181,0.08781607770437248,-0.09115894132467639,,,0,0.0005,0.0164,0.0203,0.0239,0.3974
20.06109471,99.3620021,2025-05-27,1210.0,0.0224,0.1069,0.2621,0.2369,0.1354,0.13619999587535858,0.1348,0.1865,0.2462,0.2895,0.2226,0.3142,0.3121,-0.3160934105659387,0,0,0,0.0,0,-0.2456631225517627,-0.005166036519065042,-0.24080268984912528,,,0,0.0003,0.0134,0.0139,0.0136,0.4104
20.06109471,99.3620021,2025-06-09,365.0,0.0296,0.0946,0.1882,0.1849,0.1944,0.2313999980688095,0.2668,0.242,0.189,0.2123,0.2269,0.1863,0.1945,0.10295519129560435,0,0,0,0.0,0,0.0808183107150091,0.07105580503495136,0.009818891747265262,,,0,0.0005,0.0197,0.0237,0.0255,0.5649
20.06109471,99.3620021,2025-06-23,2650.0,0.0269,0.0675,0.123,0.0958,0.1154,0.12880000472068787,0.139,0.1328,0.1358,0.1482,0.1544,0.1397,0.1225,0.02303417240647629,0,0,0,0.0011,0,-0.05248807089297886,0.03808810716770008,-0.09039546205008257,,,0,0.0003,0.0118,0.0131,0.0142,0.4823
20.06109471,99.3620021,2025-08-04,747.0,0.0107,0.1444,0.2508,0.2094,0.2362,0.28139999508857727,0.32,0.3177,0.3071,0.3589,0.37,0.3675,0.252,0.05749717281279625,0,0,0,0.01,0,-0.07246376811594202,0.06418358035692621,-0.1360147460538051,,,0,0.0009,0.024,0.0255,0.0255,0.3586
20.06109471,99.3620021,2025-08-18,336.0,0.0293,0.0839,0.1796,0.1741,0.1954,0.21940000355243683,0.2466,0.2183,0.1864,0.1927,0.2308,0.2117,0.2005,0.09974938144883069,0,0,0,0.0,0,0.033095936321742785,0.05836909064422892,-0.025322070985357884,,,0,0.0005,0.0199,0.0223,0.0251,0.4581
20.06109471,99.3620021,2025-09-01,358.0,0.0293,0.0839,0.1796,0.1741,0.1954,0.21940000355243683,0.2466,0.2183,0.1864,0.1927,0.2308,0.2117,0.2005,0.09974938144883069,0,0,0,0.0,0,0.033095936321742785,0.05836909064422892,-0.025322070985357884,,,0,0.0005,0.0199,0.0223,0.0251,0.4581
20.06109471,99.3620021,2025-09-22,298.0,0.0208,0.0885,0.1656,0.151,0.1778,0.21199999749660492,0.2396,0.2151,0.1849,0.1818,0.2237,0.1778,0.168,0.1228813501171226,0,0,0,0.0,0,0.034319015756529236,0.061116037768805746,-0.026853345353728766,,,0,0.0005,0.018,0.0217,0.0245,0.5348
20.06109471,99.3620021,2025-11-04,345.0,0.0079,0.0603,0.1599,0.1473,0.139,0.17080000042915344,0.197,0.179,0.1603,0.1523,0.209,0.1507,0.1515,0.032960388312695474,0,0,0,0.0,0,-0.029556650246305376,0.07123436525360548,-0.10057925099442501,,,0,0.0005,0.0144,0.0174,0.0199,0.237
20.06109471,99.3620021,2025-12-09,139.0,0.009,0.062,0.1685,0.1626,0.1442,0.17020000517368317,0.2008,0.1577,0.1552,0.1736,0.2232,0.156,0.1559,0.005019206222956519,0,0,0,0.0,0,-0.052830188679245285,0.08247976927113922,-0.1347229133942633,,,0,0.0005,0.0145,0.0174,0.0206,0.1197
