Turbidity_Actual,Calibrated_Pred_Linear Regression,Calibrated_Pred_Random Forest,Calibrated_Pred_Neural Network (MLP)
2.9,1.9498405999501884,0.8763202128940435,4.025755085219915
3.6,7.612615803761064,1.6442794165727639,-33.47276257634472
5.0,17.484327567746266,20.47541350341696,11.830101112094344
5.5,8.226224459513485,2.873014142458688,13.294549099973148
6.5,9.202914553084888,6.395300977482524,-9.599265317308639
7.0,13.795404802896675,3.2873249061240024,37.64298667677667
7.4,12.534477577444772,6.929645700714413,-2.794487241585175
7.5,9.643582716825954,10.942393875902813,5.681080083559098
7.6,13.403451971317411,4.95360277494621,-1.8659378200095897
7.7,7.692583792159094,6.223639508424942,30.32163210196936
8.0,15.342807255326957,6.883180942172526,21.456064348256568
8.0,6.900450563681354,20.203078390851903,15.578262079726107
8.3,6.5021690997882065,6.831553432681503,-13.591523004399793
8.4,16.205620331278975,18.015362676170568,4.797809995892303
8.5,11.939960170536175,4.587047457560061,14.183319623288234
11.7,-3.185377578423597,8.452657230699106,7.217612648642349
12.2,20.637708882956748,22.993545278840738,13.375649070974054
12.5,9.728576293014783,13.778034834696285,14.87048377264786
18.8,25.932225739817138,14.028428255727633,15.964922458273229
24.7,23.78764396899316,24.49977786824081,23.26503052503266
25.3,-4.542734337311218,17.71463243338541,30.267301878067958
27.7,25.175047827844462,17.91468903266311,30.662251071048576
35.5,33.83554401431857,42.20543224818107,42.403066272919645
67.3,53.818013971463074,65.65593774673306,66.58592314070596
74.7,75.64847762977459,77.82196035828828,75.62095694325299
83.2,76.22844232224084,69.31374679417061,77.77921797221526
