River,Amount,Station (New),Location,Lat,Long,Year,Month,Date,Time,Depth(m),Temp(a),Temp(w),pH,tur(NTU),Cond(µS),Sal(ppt),SS(mg/l),TS(mg/l),TDS(mg/l),Cd(mg/L),Cr6+(mg/L),Mn(mg/L),Ni(mg/L),Pb(mg/L),Zn(mg/L),Cu(mg/L),Hg(mg/L),As(mg/L),Cr(mg/L),"Cyanide
(mg/L)"
Kok,4//68,KK01,"Tha Ton Bridge, Thai-Myanmar Border, Ban Kaeng Tum, Moo. 14, Tha Ton, Mae Ai, Chiang Mai",20.06109471,99.3620021,2025,May,27-30 May  2025,10:00,2,27,26.1,7.37,1210,78,0,,,,<0.001,,0.72,0.013,0.038,<0.10,0.016,<0.0005,0.016,0.024,
Kok,5//68,KK01,"Tha Ton Bridge, Thai-Myanmar Border, Ban Kaeng Tum, Moo. 14, Tha Ton, Mae Ai, Chiang Mai",20.06109471,99.3620021,2025,Jun,9-13 Jun  2025,13:05,1.5,26,29.8,7.93,365,100.5,0,,,,<0.001,,0.28,<0.010,0.029,<0.10,0.01,<0.0005,0.025,0.013,
Kok,6//68,KK01,"Tha Ton Bridge, Thai-Myanmar Border, Ban Kaeng Tum, Moo. 14, Tha Ton, Mae Ai, Chiang Mai",20.06109471,99.3620021,2025,Jun,23-27 Jun  2025,14:04,2.5,32,28.6,7.62,2650,86.6,0,,,,<0.001,,1.4,0.026,0.094,<0.10,0.028,<0.0005,0.038,0.057,
Kok,7//68,KK01,"Tha Ton Bridge, Thai-Myanmar Border, Ban Kaeng Tum, Moo. 14, Tha Ton, Mae Ai, Chiang Mai",20.06109471,99.3620021,2025,Jul,30 Jun-4 Jul 2025,14:00,2.5,29,26.4,7.44,1694,69.1,0,,,,<0.001,,0.92,0.024,0.041,<0.10,0.022,<0.0005,0.016,0.046,
Kok,8//68,KK01,"Tha Ton Bridge, Thai-Myanmar Border, Ban Kaeng Tum, Moo. 14, Tha Ton, Mae Ai, Chiang Mai",20.06109471,99.3620021,2025,Jul,21-25 Jul 2025,12:00,6,29,25.2,7.24,1873,59.5,0,,,,<0.001,,0.94,0.027,0.058,<0.10,0.022,<0.0005,0.018,0.056,
Kok,9//68,KK01,"Tha Ton Bridge, Thai-Myanmar Border, Ban Kaeng Tum, Moo. 14, Tha Ton, Mae Ai, Chiang Mai",20.06109471,99.3620021,2025,Aug,4-8 Aug 2025,13:01,4,31,26.8,6.9,747,74.7,0,,,,<0.001,,0.52,0.016,0.023,<0.10,0.013,<0.0005,<0.010,0.031,
Kok,10//68,KK01,"Tha Ton Bridge, Thai-Myanmar Border, Ban Kaeng Tum, Moo. 14, Tha Ton, Mae Ai, Chiang Mai",20.06109471,99.3620021,2025,Aug,18-22 Aug 2025,13:05,2.5,32,28.9,7.85,336,123.1,0,,,,<0.001,,0.3,<0.010,0.017,<0.10,<0.010,<0.0005,<0.010,0.019,
Kok,11//68,KK01,"Tha Ton Bridge, Thai-Myanmar Border, Ban Kaeng Tum, Moo. 14, Tha Ton, Mae Ai, Chiang Mai",20.06109471,99.3620021,2025,Sep,1-4 Sep  2025,14:04,1.5,30,28.4,7.45,358,77.4,0,,,,<0.001,,0.32,<0.010,0.013,<0.10,<0.010,<0.0005,<0.010,0.019,
Kok,12//68,KK01,"Tha Ton Bridge, Thai-Myanmar Border, Ban Kaeng Tum, Moo. 14, Tha Ton, Mae Ai, Chiang Mai",20.06109471,99.3620021,2025,Sep,22-26 Sep  2025,13:03,2,29,27.3,6.61,298,76.8,0,,,,<0.001,,0.25,<0.010,0.014,<0.10,<0.010,<0.0005,<0.010,0.016,
Kok,13//68,KK01,"Tha Ton Bridge, Thai-Myanmar Border, Ban Kaeng Tum, Moo. 14, Tha Ton, Mae Ai, Chiang Mai",20.06109471,99.3620021,2025,Nov,4-7 Nov 2025,15:05,2,26,24.4,7.81,345,81.3,0,,,,<0.001,,0.19,<0.010,0.012,<0.10,<0.010,<0.0005,0.011,0.01,
Kok,14//68,KK01,"Tha Ton Bridge, Thai-Myanmar Border, Ban Kaeng Tum, Moo. 14, Tha Ton, Mae Ai, Chiang Mai",20.06109471,99.3620021,2025,Dec,9-12 Dec 2025,16:00,1,28,23,7.66,139,91.1,0,,,,<0.001,,0.14,<0.010,0.014,<0.10,<0.010,<0.0005,0.01,<0.010,
Kok,1//68,KK02,"Mae Na Wang - Tha Ton Friendship Bridge, Tha Ton, Mae Ai, Chiang Mai",20.047791,99.4049339,2025,Mar,Mar,,,,,7.32,171,136.4,,242,356,114,<0.001,,0.18,<0.010,0.013,<0.10,<0.010,<0.002,0.012,<0.01,<0.005
Kok,2//68,KK02,"Mae Na Wang - Tha Ton Friendship Bridge, Tha Ton, Mae Ai, Chiang Mai",20.047791,99.4049339,2025,Apr,Apr,,,,,8,82.8,195.1,,122,286,164,<0.001,,0.13,<0.010,0.011,<0.100,<0.010,<0.002,0.012,<0.010,
Kok,3//68,KK02,"Mae Na Wang - Tha Ton Friendship Bridge, Tha Ton, Mae Ai, Chiang Mai",20.047791,99.4049339,2025,May,13-16 May  2025,14:04,1.5,30,30.2,7.98,468,118.7,0,,,,<0.001,,0.24,<0.010,0.036,<0.10,<0.010,<0.0005,0.026,<0.010,
